age_to_use,0.4,2,10,25,50,75,90,98,99.6
0,1.373919937,2.034258554,2.632606339,2.990066016,3.338525728,3.684649433,4.035151526,4.615155593,5.268818316
0.1,1.843216443,2.638993117,3.373211577,3.821445196,4.264303813,4.707449114,5.156782112,5.897649457,6.727390473
0.2,2.347270655,3.257818251,4.116238015,4.6516993,5.187773205,5.728189566,6.277035706,7.179216302,8.183893989
0.3,2.854098494,3.851608049,4.81445126,5.427848153,6.049928106,6.681727701,7.324605641,8.378686031,9.546545593
0.4,3.334390607,4.389090259,5.432194496,6.110425668,6.806957827,7.519644527,8.246407543,9.435634204,10.74728295
0.5,3.767548007,4.852112019,5.950880621,6.679429658,7.436816092,8.217518056,9.015575182,10.31949058,11.75197553
0.6,4.145046927,5.237561286,6.370328838,7.135568198,7.940538794,8.776405478,9.633131934,11.03146635,12.56251796
0.7,4.470951684,5.556411658,6.706810218,7.497849577,8.339498157,9.219838956,10.12475292,11.60090886,13.21265863
0.8,4.760464694,5.831156942,6.989460895,7.799414882,8.670719585,9.588677984,10.53517431,12.07898981,13.76086319
0.9,5.035104502,6.089781559,7.252856485,8.07916846,8.97755035,9.930815444,10.91693861,12.52590822,14.27584304
1,5.302441838,6.341836409,7.508749385,8.35034328,9.274744872,10.26256565,11.28797062,12.96228998,14.78129999
1.1,5.562576271,6.587491426,7.757523227,8.613453436,9.562911333,10.58460737,11.64902976,13.38910346,15.27856642
1.2,5.815809221,6.827105492,7.999744549,8.869205154,9.842869093,10.89785402,12.00113366,13.80761065,15.76930715
1.3,6.062656898,7.061260405,8.236207571,9.118546586,10.11570382,11.20351519,12.34562692,14.21944884,16.25561652
1.4,6.303840067,7.290752973,8.467926535,9.362659008,10.38275751,11.50308614,12.68417096,14.62662219,16.74001387
1.5,6.540277964,7.516587928,8.696128405,9.602948509,10.64561905,11.79833802,13.01873467,15.03149478,17.22544182
1.6,6.773083159,7.739971625,8.922246562,9.841038965,10.9061164,12.0913098,13.35158705,15.43678637,17.71526861
1.7,7.003557156,7.962307071,9.147916257,10.07876715,11.16631122,12.38430305,13.68529312,15.84557234,18.21329624
1.8,7.233187424,8.185191024,9.374972602,10.31818077,11.42849685,12.67988048,14.02271412,16.26128905,18.72377605
1.9,7.463562762,8.410319032,9.605343404,10.56142111,11.69506876,12.98072311,14.36685134,16.687558,19.25121563
2,7.695228258,8.638199169,9.839585289,10.80911637,11.96674796,13.28766028,14.71866657,17.12565237,19.79745104
2.1,7.927829821,8.868340332,10.07711915,11.0606481,12.242878,13.59999601,15.07743634,17.57489353,20.36208724
2.2,8.160913657,9.10016227,10.31727687,11.31530432,12.52270149,13.91692311,15.44231342,18.03445927,20.94458186
2.3,8.393947252,9.333017008,10.55932521,11.57230576,12.80538907,14.23755525,15.81236171,18.50342245,21.54428804
2.4,8.626320401,9.566188023,10.80246425,11.83080407,13.09003738,14.56092446,16.18655292,18.98074523,22.16044508
2.5,8.857346373,9.798889857,11.04582631,12.08988058,13.37566766,14.88597921,16.5637639,19.46527366,22.79216911
2.6,9.086263349,10.03026826,11.28847556,12.34854573,13.66122491,15.21158338,16.9427747,19.95573295,23.43844351
2.7,9.312236253,10.25940094,11.52940833,12.60573925,13.94557795,15.53651581,17.3222675,20.45072337,24.09810932
2.8,9.534359109,10.48529905,11.7675542,12.86033116,14.22752025,15.85947097,17.7008264,20.948717,24.76985538
2.9,9.751673099,10.70692563,12.00179567,13.1111427,14.50579252,16.17908305,18.07696284,21.4480826,25.45223762
3,9.963679106,10.92374513,12.23156951,13.35759231,14.77978352,16.49468924,18.44994258,21.94800256,26.14465857
3.1,10.17051036,11.13590616,12.45706468,13.59990767,15.04976069,16.8065824,18.82006193,22.44878123,26.84768805
3.2,10.3723722,11.34363789,12.67856025,13.83841403,15.31609798,17.11517108,19.18773845,22.95083319,27.56195754
3.3,10.56950353,11.54720872,12.89638016,14.07348578,15.57922352,17.42092273,19.55344929,23.45461139,28.28806491
3.4,10.76217548,11.7469248,13.11089198,14.30554529,15.83961866,17.72436279,19.91773006,23.96060232,29.02654922
3.5,10.95068982,11.94312863,13.32250565,14.5350619,16.09781697,18.02607379,20.28117378,24.46932123,29.77786348
3.6,11.1353774,12.13619754,13.53167229,14.76255087,16.3544035,18.32669473,20.64443004,24.98130764,30.54234661
3.7,11.31659641,12.32654226,13.73888312,14.98857256,16.61001409,18.62692052,21.00820437,25.49712125,31.32019535
3.8,11.49473069,12.51460552,13.94466844,15.21373175,16.86533498,18.92750174,21.37325788,26.01733863,32.11143788
3.9,11.67018754,12.7008601,14.14959606,15.43867622,17.12110151,19.22924341,21.74040595,26.54254954,32.91591021
4,11.84333615,12.88572133,14.35415148,15.66395241,17.37792776,19.53281193,22.11031343,27.07317924,33.73321672
4.1,12.01443745,13.06944818,14.55860265,15.88984201,17.63611288,19.83851489,22.48326171,27.60930022,34.56277087
4.2,12.18374555,13.25229082,14.76320415,16.11660871,17.89593217,20.14663043,22.85949919,28.15094921,35.40391859
4.3,12.35152335,13.43451224,14.96822671,16.34453356,18.1576788,20.45745457,23.23929184,28.69817424,36.25596271
4.4,12.51804366,13.6163891,15.17395767,16.57391542,18.42166416,20.77130159,23.62292392,29.25103811,37.11817828
4.5,12.68359024,13.79821241,15.38070149,16.80507132,18.68821826,21.08850444,24.01069874,29.80962206,37.98982948
4.6,12.84845887,13.98028836,15.58878034,17.03833698,18.9576901,21.40941525,24.40293956,30.37402967,38.87018779
4.7,13.01295842,14.16293916,15.79853473,17.27406732,19.23044822,21.73440581,24.79999043,30.94439082,39.75855088
