age_to_use,0.4,2,10,25,50,75,90,98,99.6,number_of_imputations
0,56.6862585,67.38917276,80.05914125,89.56838585,100.1468972,111.2514528,122.2221433,138.5667392,154.2787297,10
0.1,56.99160166,67.62722823,80.22533753,89.68452793,100.2090801,111.2567596,122.1690351,138.4187817,154.0266647,10
0.2,57.29485644,67.86392795,80.39079461,89.80027481,100.2711986,111.2623455,122.1165886,138.2722394,153.7770977,10
0.3,57.59599044,68.09923413,80.55547592,89.9155949,100.3332288,111.2681956,122.0647973,138.1271154,153.5300317,10
0.4,57.89497164,68.33310933,80.71934522,90.03045679,100.3951467,111.2742946,122.0136544,137.9834119,153.2854688,10
0.5,58.1917683,68.56551649,80.88236654,90.14482923,100.4569282,111.2806268,121.9631525,137.8411304,153.0434097,10
0.6,58.48634898,68.79641884,81.04450426,90.25868115,100.5185493,111.2871764,121.9132835,137.7002713,152.8038546,10
0.7,58.77868247,69.02577998,81.20572301,90.37198162,100.5799857,111.2939272,121.8640389,137.5608341,152.5668024,10
0.8,59.06873782,69.25356379,81.36598771,90.48469988,100.6412134,111.3008625,121.8154094,137.4228175,152.3322513,10
0.9,59.3564803,69.479732,81.52526298,90.59680621,100.7022106,111.3079702,121.7673918,137.2862291,152.1002113,10
1,59.6418495,69.7042304,81.68350993,90.70827717,100.7629734,111.315268,121.7200257,137.1511385,151.8707748,10
1.1,59.92477576,69.92699937,81.84068896,90.81909228,100.8235049,111.3227852,121.6733667,137.0176392,151.6440659,10
1.2,60.20519094,70.14798064,81.99676141,90.92923162,100.8838083,111.3305507,121.6274695,136.8858229,151.4202058,10
1.3,60.48302846,70.36711729,82.1516896,91.03867578,100.9438869,111.3385928,121.5823877,136.7557789,151.1993127,10
1.4,60.75822322,70.58435372,82.30543675,91.14740589,101.0037438,111.3469392,121.5381734,136.6275945,150.9815019,10
1.5,61.03071154,70.79963561,82.45796695,91.25540355,101.0633822,111.3556171,121.4948781,136.501355,150.7668862,10
1.6,61.30043116,71.01290987,82.60924518,91.36265086,101.1228054,111.3646532,121.4525517,136.3771441,150.5555757,10
1.7,61.56732112,71.22412458,82.7592372,91.46913037,101.1820167,111.3740737,121.4112434,136.2550433,150.3476779,10
1.8,61.83132175,71.43322898,82.90790961,91.57482509,101.2410192,111.3839042,121.3710014,136.1351325,150.1432981,10
1.9,62.09237493,71.64017415,83.0552309,91.67971988,101.299818,111.3941719,121.3318752,136.0174931,149.942543,10
2,62.35042772,71.84492072,83.20118342,91.78381622,101.3584376,111.4049268,121.2939402,135.902238,149.7455575,10
2.1,62.6054315,72.04743612,83.34575871,91.88712632,101.4169148,111.4162328,121.2572879,135.7894991,149.5525097,10
2.2,62.85733966,72.24768938,83.48894939,91.9896631,101.4752867,111.4281535,121.2220088,135.6794067,149.3635647,10
2.3,63.10610751,72.44565102,83.63074904,92.09144,101.5335905,111.4407522,121.1881925,135.5720893,149.178885,10
2.4,63.35169216,72.64129295,83.77115211,92.19247097,101.5918634,111.4540917,121.1559277,135.4676735,148.9986301,10
2.5,63.59405246,72.83458845,83.91015395,92.29277049,101.6501427,111.4682344,121.1253022,135.3662842,148.8229571,10
2.6,63.8331489,73.02551204,84.04775071,92.39235345,101.7084659,111.4832425,121.096403,135.2680447,148.6520207,10
2.7,64.06894348,73.21403948,84.18393931,92.49123524,101.7668705,111.4991777,121.0693163,135.173077,148.4859734,10
2.8,64.30139969,73.40014766,84.31871743,92.58943164,101.8253938,111.5161015,121.0441276,135.0815015,148.3249656,10
2.9,64.53048268,73.58381471,84.45208339,92.68695865,101.8840733,111.5340744,121.0209211,134.9934364,148.1691445,10
3,64.75616553,73.76502312,84.58403531,92.78382844,101.9429381,111.5531444,120.9997633,134.908975,148.0186249,10
3.1,64.97842861,73.94375927,84.71457096,92.88004947,102.0020098,111.5733477,120.9807049,134.8281875,147.8734915,10
3.2,65.1972531,74.12001017,84.84368836,92.97563017,102.0613096,111.5947196,120.9637952,134.7511427,147.7338271,10
3.3,65.41262067,74.29376322,84.97138584,93.07057918,102.1208591,111.6172956,120.9490835,134.6779089,147.5997139,10
3.4,65.62451346,74.46500621,85.09766196,93.16490528,102.1806795,111.6411111,120.9366191,134.6085542,147.4712341,10
3.5,65.83291396,74.63372725,85.22251551,93.25861739,102.2407923,111.6662013,120.926451,134.5431465,147.3484695,10
3.6,66.03780497,74.79991471,85.34594547,93.35172451,102.301219,111.6926016,120.918628,134.4817537,147.2315019,10
3.7,66.23916953,74.96355717,85.46795095,93.44423579,102.3619811,111.7203472,120.9131993,134.4244436,147.1204132,10
3.8,66.43699083,75.12464335,85.58853118,93.53616042,102.4231002,111.7494735,120.9102137,134.371284,147.0152855,10
3.9,66.63125277,75.28316258,85.70768574,93.62750775,102.4845979,111.7800156,120.9097199,134.3223421,146.9162004,10
4,66.82197079,75.43912799,85.82542795,93.71829269,102.5464916,111.8119937,120.9117406,134.2776425,146.8231797,10
4.1,67.00920518,75.59258664,85.94179061,93.80853785,102.6087925,111.8454067,120.9162615,134.2371485,146.7361608,10
4.2,67.19301844,75.74358725,86.05680745,93.89826618,102.6715114,111.8802522,120.9232661,134.2008202,146.6550765,10
4.3,67.37347175,75.89217754,86.17051156,93.98750027,102.7346593,111.9165284,120.9327392,134.1686194,146.5798628,10
4.4,67.55062496,76.03840423,86.28293542,94.0762624,102.7982471,111.9542337,120.9446661,134.1405098,146.5104579,10
4.5,67.72453664,76.18231308,86.39411091,94.16457453,102.8622858,111.9933671,120.9590332,134.1164564,146.4468028,10
